Date,Forecast,Lower_CI,Upper_CI
2026-06-30,73.41008,72.92340431856245,73.89675559354693
2026-07-01,73.447556,72.9606314583099,73.93447962567447
2026-07-02,73.45527,72.96829364037112,73.94224407935545
2026-07-03,73.4422,72.9553111301131,73.9290882839494
2026-07-06,73.415146,72.92843665178565,73.90185509626123
2026-07-07,73.37962,72.89314968870256,73.86609713746931
2026-07-08,73.339745,72.85353522220014,73.82595391354205
2026-07-09,73.298355,72.81242015030887,73.78429005476926
2026-07-10,73.25727,72.7716082310214,73.74293339495516
2026-07-13,73.21749,72.73209228911522,73.70289001068947
2026-07-14,73.17918,72.6940314797073,73.6643211814255
2026-07-15,73.14087,72.65597824911448,73.62576003213552
2026-07-16,73.103966,72.61931952049918,73.58861199805551
2026-07-17,73.06812,72.58371424718209,73.55253148035698
2026-07-20,73.03298,72.54880622485376,73.51715752026342
2026-07-21,72.99828,72.51433777380096,73.48222899865998
2026-07-22,72.96382,72.4801042660161,73.44753855624953
2026-07-23,72.929474,72.44598444045766,73.41296331344859
2026-07-24,72.895195,72.4119328242351,73.37845719041334
2026-07-27,72.86096,72.37792668090309,73.34399714722191
2026-07-28,72.826805,72.34399632572205,73.30961390377014
2026-07-29,72.79278,72.3101948103976,73.27536121987583
2026-07-30,72.75893,72.27656760782037,73.24128517538276
2026-07-31,72.72532,72.24318292732616,73.20745489005665
2026-08-03,72.69199,72.21007866299048,73.17390876376733
2026-08-04,72.65903,72.17733060296428,73.14072359625447
2026-08-05,72.62644,72.14496148369284,73.10792242743997
2026-08-06,72.59427,72.11300162043652,73.07553597721973
2026-08-07,72.56256,72.08150406490103,73.04361800541147
2026-08-10,72.53132,72.05046881708633,73.01216851201524
2026-08-11,72.500565,72.01991861343771,72.98121053695291
2026-08-12,72.470314,71.9898686115854,72.95075944017242
2026-08-13,72.44058,71.96033396915954,72.92083058162171
2026-08-14,72.41136,71.93130710734505,72.89141628132683
2026-08-17,72.38268,71.90281834140232,72.86254725918361
2026-08-18,72.35453,71.87485251370117,72.83420815524414
2026-08-19,72.32691,71.84741720305668,72.80640664948238
2026-08-20,72.299835,71.82051998828393,72.77915042187232
2026-08-21,72.2733,71.79416086938296,72.75243947241391
2026-08-24,72.2473,71.76833226753864,72.72626612113324
2026-08-25,72.221855,71.74305691919626,72.70065340795217
2026-08-26,72.19695,71.71831966672565,72.67558597292279
2026-08-27,72.17259,71.6941205101268,72.65106381604508
2026-08-28,72.14878,71.67046702821477,72.62709461729304
2026-08-31,72.1255,71.64734406335943,72.6036630167187
2026-09-01,72.102776,71.62476677319094,72.58078437427
2026-09-02,72.080574,71.60271242126402,72.55843565002505
2026-09-03,72.058914,71.58119616520884,72.53663220393179
2026-09-04,72.03778,71.56020284739523,72.51535867604227
2026-09-07,72.01716,71.539717310193,72.49459970640856
2026-09-08,71.99706,71.51975471123234,72.4743706549786
2026-09-09,71.97748,71.50029989288305,72.45465616180445
2026-09-10,71.9584,71.48134527633005,72.43544854691214
2026-09-11,71.93982,71.46289086157333,72.41674781030167
2026-09-14,71.92173,71.4449214909827,72.39853859202512
2026-09-15,71.90413,71.42743716455814,72.38082089208248
2026-09-16,71.88701,71.41043030348459,72.36358703049979
2026-09-17,71.87036,71.39389332894694,72.34682932730306
2026-09-18,71.85417,71.37781108331501,72.33053242254437
2026-09-21,71.83844,71.36218356658878,72.31469631622372
2026-09-22,71.82315,71.34699562113806,72.29930564839319
2026-09-23,71.80831,71.33225482577798,72.28436809902671
2026-09-24,71.7939,71.3179384440632,72.26986062820242
2026-09-25,71.77991,71.30403889717867,72.25577555594633
2026-09-28,71.766335,71.29055618512437,72.24211288225844
2026-09-29,71.75317,71.27747515027012,72.22885724719082
2026-09-30,71.740395,71.26478821380081,72.2160009707695
2026-10-01,71.72801,71.25248779690136,72.20353637302051
2026-10-02,71.71601,71.24056632075667,72.19145577396989
2026-10-05,71.704384,71.22901620655165,72.17975149364366
2026-10-06,71.693115,71.21782229665608,72.16840817209392
2026-10-07,71.682205,71.20698459107,72.15742580932063
2026-10-08,71.67164,71.1964879321632,72.14678904537587
2026-10-09,71.661415,71.18633231993567,72.13649788025964
2026-10-12,71.65151,71.17649501794216,72.12652927405003
2026-10-13,71.64193,71.16697602618262,72.11688322674706
2026-10-14,71.63267,71.1577753446571,72.10755973835072
2026-10-15,71.6237,71.14887023692027,72.0985357689391
2026-10-16,71.615036,71.14026070297217,72.0898113185122
2026-10-19,71.60666,71.13193916399769,72.08137870709606
2026-10-20,71.59856,71.12389046236662,72.07322257474276
2026-10-21,71.59073,71.11611459807898,72.06534292145227
2026-10-22,71.58316,71.10859641350457,72.05772438727668
2026-10-23,71.57586,71.10134348745851,72.05037465218993
2026-10-26,71.5688,71.09433308349547,72.04327067627015
2026-10-27,71.56199,71.08756520161549,72.03641245951732
2026-10-28,71.555405,71.08102468418836,72.02978464198351
2026-10-29,71.54905,71.07471153121409,72.02338722366872
2026-10-30,71.54292,71.06862574269267,72.01722020457295
2026-11-02,71.537,71.06274458217884,72.01126054477429
2026-11-03,71.531296,71.05707562848765,72.00551592424672
2026-11-04,71.52579,71.05160372398895,71.9999709830423
2026-11-05,71.52048,71.0463288686827,71.99462572116104
2026-11-06,71.51535,71.04123590493876,71.98946477865499
2026-11-09,71.51041,71.03632483275709,71.98448815552416
2026-11-10,71.505646,71.03159565213771,71.97969585176854
2026-11-11,71.50105,71.02703320545042,71.9750725074402
2026-11-12,71.49663,71.02263749269522,71.97061812253915
2026-11-13,71.49236,71.01840093505703,71.9663250170914
2026-11-16,71.48825,71.01431595372073,71.96218551112302
2026-11-17,71.48428,71.01037496987125,71.95819192466
2026-11-18,71.48047,71.00658556232366,71.95435193767634
2026-11-19,71.47679,71.0029325734478,71.95065019022408
2026-11-20,71.47324,70.99940842442854,71.94707900232927
2026-11-23,71.46983,70.99602069408101,71.94364605396586
2026-11-24,71.46655,70.99276180359008,71.94034366515992
2026-11-25,71.46339,70.98961659532559,71.93715647596348
2026-11-26,71.46034,70.98659264810262,71.93409216635051
2026-11-27,71.457405,70.98367480429098,71.93113537637308
2026-11-30,71.45458,70.98087064270577,71.92829378600517
2026-12-01,71.451866,70.97817258453189,71.9255597152728
2026-12-02,71.44925,70.97557305095425,71.922925484202
2026-12-03,71.44673,70.97307204197284,71.92039109279278
2026-12-04,71.44431,70.97066955758768,71.91795654104513
2026-12-07,71.44198,70.96835044016856,71.91560646901112
2026-12-08,71.439735,70.96612226853058,71.91334855666473
2026-12-09,71.43757,70.96396988504355,71.91116744405801
2026-12-10,71.43549,70.96190844733766,71.9090784911389
2026-12-11,71.4335,70.95993037659782,71.90707401793343
2026-12-14,71.43158,70.95802051519385,71.90513866449365
2026-12-15,71.42973,70.95618644194082,71.90328011079356
2026-12-16,71.427956,70.95442057802364,71.90149067685917
2026-12-17,71.42625,70.95272292344232,71.89977036269049
2026-12-18,71.42461,70.95109347819687,71.89811916828751
2026-12-21,71.42302,70.94951708465707,71.8965217337023
2026-12-22,71.4215,70.94800890045313,71.8949934188828
2026-12-23,71.42004,70.94655376795487,71.89351886388107
2026-12-24,71.41864,70.94516684479245,71.89211342864505
2026-12-25,71.41728,70.94381781570551,71.89074639327886
2026-12-28,71.415985,70.94252941713934,71.88944079770441
2026-12-29,71.41474,70.94129407027883,71.88818896194773
2026-12-30,71.413536,70.94009661749378,71.88697552606091
2026-12-31,71.412384,70.93895221641442,71.88581584999183
2027-01-01,71.41128,70.93785328822561,71.88470225376658
2027-01-04,71.41021,70.93679225411229,71.88362705741115
2027-01-05,71.40919,70.93577669288955,71.88259794089952
2027-01-06,71.4082,70.93479902574227,71.88160722425773
2027-01-07,71.40726,70.93385925267047,71.88065490748578
2027-01-08,71.40635,70.93295737367414,71.87974099058367
2027-01-11,71.40548,70.93209338875329,71.8788654735514
2027-01-12,71.40464,70.93125971909282,71.87802067641499
2027-01-13,71.40383,70.93045636469273,71.87720659917446
2027-01-14,71.40306,70.92969090436813,71.87643092180375
2027-01-15,71.40231,70.9289481804888,71.87567828435495
2027-01-18,71.401596,70.92823577186985,71.87495636680202
2027-01-19,71.40091,70.92755367851129,71.87426516914496
2027-01-20,71.400246,70.92689432159801,71.8735970114098
2027-01-21,71.39961,70.92626527994511,71.87295957357051
2027-01-22,71.399,70.9256589747375,71.87234517565312
2027-01-25,71.39842,70.92508298479027,71.87176149763161
2027-01-26,71.39786,70.92452215247323,71.87119317955802
2027-01-27,71.397316,70.92398405660147,71.87064790140634
2027-01-28,71.396805,70.9234762759901,71.87013334315053
2027-01-29,71.3963,70.92297607419381,71.86962646486869
2027-02-01,71.39583,70.92250618765792,71.86915030648271
2027-02-02,71.39536,70.9220438799371,71.8686818280707
2027-02-03,71.39492,70.92160430866159,71.8682363895806
2027-02-04,71.39449,70.92117989501625,71.86780631103844
2027-02-05,71.39409,70.9207782178162,71.86739927241817
2027-02-08,71.3937,70.92039169824636,71.86700759374583
2027-02-09,71.393326,70.92002033630669,71.86663127502143
2027-02-10,71.39296,70.91965655318212,71.866262636271
2027-02-11,71.39262,70.91931550650284,71.86591703744247
2027-02-12,71.39228,70.91898203863866,71.8655791185879
2027-02-15,71.39197,70.91867130721975,71.86526423965525
2027-02-16,71.391655,70.91836057580086,71.86494936072258
2027-02-17,71.391365,70.91807258082724,71.86465752171182
2027-02-18,71.391075,70.91778458585362,71.86436568270106
2027-02-19,71.39081,70.9175193273253,71.8640968836122
2027-02-22,71.39054,70.91725406879696,71.86382808452335
2027-02-23,71.3903,70.91701154671392,71.86358232535639
2027-02-24,71.39005,70.91676902463087,71.86333656618945
2027-02-25,71.389824,70.91654166017801,71.86310616697043
2027-02-26,71.3896,70.91632187454026,71.86288344772537
2027-03-01,71.38938,70.91610208890249,71.86266072848032
2027-03-02,71.38918,70.91590503971003,71.86246104915716
2027-03-03,71.388985,70.91570799051755,71.86226136983402
2027-03-04,71.388794,70.91551852014017,71.86206937048483
2027-03-05,71.38862,70.91534420739298,71.86189273108359
2027-03-08,71.38844,70.91516989464579,71.86171609168234
2027-03-09,71.388275,70.9150031607137,71.86154713225505
2027-03-10,71.388115,70.91484400559669,71.86138585280175
2027-03-11,71.387955,70.9146848504797,71.86122457334842
2027-03-12,71.38781,70.91454085299289,71.86107865384305
2027-03-15,71.38767,70.91440443432118,71.86094041431163
2027-03-16,71.387535,70.91426801564947,71.86080217478022
2027-03-17,71.3874,70.91413159697775,71.86066393524881
2027-03-18,71.387276,70.91401033593623,71.86054105566534
2027-03-19,71.38715,70.91388907489471,71.86041817608185
2027-03-22,71.38705,70.91378297148337,71.86031065644632
2027-03-23,71.38693,70.91366928925694,71.8601954568368
2027-03-24,71.386826,70.91356318584562,71.86008793720126
2027-03-25,71.38672,70.91345708243428,71.85998041756572
2027-03-26,71.38663,70.91336613665314,71.85988825787811
2027-03-29,71.38653,70.9132676120569,71.85978841821654
2027-03-30,71.38644,70.91317666627576,71.85969625852893
2027-03-31,71.386345,70.91308572049462,71.85960409884132
2027-04-01,71.38627,70.91300993234367,71.85952729910164
2027-04-02,71.386185,70.91292656537762,71.85944281938801
2027-04-05,71.38611,70.91285077722667,71.85936601964833
2027-04-06,71.38604,70.91278256789082,71.85929689988262
2027-04-07,71.38596,70.91270677973986,71.85922010014295
2027-04-08,71.385895,70.912638570404,71.85915098037725
2027-04-09,71.38583,70.91257793988325,71.8590895405855
2027-04-12,71.385765,70.91250973054738,71.8590204208198
2027-04-13,71.385704,70.91244910002662,71.85895898102807
2027-04-14,71.38565,70.91239604832096,71.85890522121029
2027-04-15,71.38559,70.9123354178002,71.85884378141856
2027-04-16,71.385544,70.91228994490963,71.85879770157474
2027-04-19,71.38549,70.91223689320397,71.85874394175697
2027-04-20,71.38544,70.91218384149829,71.85869018193921
2027-04-21,71.38539,70.91213836860773,71.8586441020954
2027-04-22,71.385345,70.91209289571715,71.8585980222516
2027-04-23,71.3853,70.91204742282659,71.85855194240779
2027-04-26,71.38526,70.91200952875111,71.85851354253795
2027-04-27,71.38522,70.91197163467564,71.85847514266811
2027-04-28,71.385185,70.91193374060016,71.85843674279828
2027-04-29,71.38515,70.91189584652469,71.85839834292844
2027-04-30,71.38511,70.91185795244921,71.8583599430586
2027-05-03,71.38508,70.91182763718882,71.85832922316274
2027-05-04,71.38505,70.91179732192845,71.85829850326687
2027-05-05,71.38502,70.91176700666806,71.858267783371
2027-05-06,71.38499,70.91173669140768,71.85823706347513
2027-05-07,71.38495,70.9116987973322,71.8581986636053
2027-05-10,71.384926,70.91167606088692,71.8581756236834
2027-05-11,71.384895,70.91164574562654,71.85814490378752
2027-05-12,71.38487,70.91162300918126,71.85812186386562
2027-05-13,71.38484,70.91159269392087,71.85809114396976
2027-05-14,71.38483,70.91157753629068,71.85807578402182
2027-05-17,71.384796,70.9115472210303,71.85804506412595
2027-05-18,71.38478,70.91153206340012,71.85802970417801
2027-05-19,71.38476,70.91150932695483,71.85800666425611
2027-05-20,71.384735,70.91148659050954,71.85798362433421
2027-05-21,71.38472,70.91147143287935,71.85796826438627
2027-05-24,71.384705,70.91145627524917,71.85795290443833
2027-05-25,71.38468,70.91143353880388,71.85792986451644
2027-05-26,71.38467,70.91141838117369,71.8579145045685
2027-05-27,71.38465,70.91140322354349,71.85789914462057
2027-05-28,71.384636,70.9113880659133,71.85788378467264
2027-05-31,71.38462,70.91137290828311,71.8578684247247
2027-06-01,71.384605,70.91135775065293,71.85785306477676
2027-06-02,71.38459,70.91134259302274,71.85783770482882
2027-06-03,71.384575,70.91132743539254,71.8578223448809
2027-06-04,71.38457,70.91131985657745,71.85781466490693
2027-06-07,71.38455,70.91130469894726,71.85779930495899
2027-06-08,71.38454,70.91128954131706,71.85778394501106
2027-06-09,71.38453,70.91128196250197,71.85777626503709
2027-06-10,71.38452,70.91127438368687,71.85776858506313
2027-06-11,71.38451,70.91125922605669,71.85775322511519
2027-06-14,71.3845,70.91125164724158,71.85774554514123
2027-06-15,71.38449,70.9112440684265,71.85773786516725
2027-06-16,71.384476,70.91122891079631,71.85772250521931
